sportgrade_numeric,pullup reps_mean,pullup reps_median,pullup reps_std,maxhang_mean,maxhang_median,maxhang_std,deadlift_mean,deadlift_median,deadlift_std,armjump_mean,armjump_median,armjump_std,hipjump_mean,hipjump_median,hipjump_std,continuoushang_mean,continuoushang_median,continuoushang_std,repeaters1_mean,repeaters1_median,repeaters1_std,onerungcamp_mean,onerungcamp_median,onerungcamp_std,bigmovecamp_mean,bigmovecamp_median,bigmovecamp_std,pushup reps_mean,pushup reps_median,pushup reps_std,weightedpull_mean,weightedpull_median,weightedpull_std
10.0,5.6,7.0,5.319774431308154,11.0,15.0,10.246950765959598,168.64000000000001,196.0,99.08518052665595,68.541,71.445,4.250344691904401,72.929,72.58,4.924746693993513,14.8,12.0,11.606032913963324,35.4,51.0,28.156704352604905,70.5076,65.0,49.831444779376,63.44,64.0,47.253232693647526,17.6,19.0,10.922453936730518,28.0,40.0,25.88435821108957
10.5,9.461538461538462,9.0,5.20601230334352,28.00769230769231,20.0,28.76747183708426,210.0,207.1,73.76238878995176,67.92961538461537,69.1,7.018091639214341,71.20653846153846,70.385,5.757674003961795,24.153846153846153,22.0,16.42582394608235,48.05384615384616,37.0,39.04426153706021,104.51538461538462,90.6,67.35231802684851,66.86484615384616,60.5,30.678977850873046,25.846153846153847,25.0,13.939429411123408,40.46153846153846,35.0,27.576002201840236
11.0,7.5,8.0,5.168940773306337,27.817500000000003,25.5,22.060370402776385,196.775,215.45,63.863210186966135,66.611375,67.8375,7.071634923890999,70.445875,69.955,4.338084755159667,25.42625,26.9,13.345540825905013,66.7325,63.0,45.996651982396976,82.2531,80.25,48.37250756783237,59.882225000000005,59.471500000000006,28.644100528763737,19.025,19.0,11.223801403656335,35.25,35.0,29.91734768169953
11.5,12.261538461538462,12.0,6.2206232683030915,35.69538461538461,34.0,21.745792917605574,216.34615384615384,228.8,77.40747718430349,67.88153846153847,68.635,6.464732262140008,72.539,72.83,4.856636181556116,29.219846153846152,26.9,12.53703420025891,74.67384615384616,75.0,43.12827261830065,111.08335384615384,100.9,55.22155979450836,75.90486153846153,70.0,35.027468676328205,27.25846153846154,26.0,14.42409975860379,56.963846153846156,60.0,31.88288812652426
12.0,13.868799999999998,13.0,6.984319026080102,53.289199999999994,53.0,23.9071587874913,232.52,235.5,59.79537688462373,67.91224,68.125,6.138569381772818,73.479,72.91,4.858802246870472,42.63376,41.0,18.055214360042832,123.7264,110.0,73.46081701239808,146.03465599999998,123.0,99.54965788579636,86.90292,80.8,36.94085318399251,28.2728,27.0,11.187438058938273,64.5796,60.0,26.524913803027985
12.5,16.933333333333334,16.0,7.508270467460615,64.94607843137256,61.0,30.056595696536803,246.46372549019608,261.6,67.92386213525734,69.15068627450981,68.9675,6.052726373632558,74.26220588235294,73.6725,5.0929737356523095,47.334901960784315,46.0,16.154291140979257,144.84117647058824,130.0,75.8993645245853,172.3672843137255,150.0,107.95230866684845,94.0455294117647,92.837,37.27834237292994,30.75294117647059,30.0,13.568073371934883,80.10098039215687,80.0,30.700119311852653
13.0,17.3265306122449,16.0,5.5766916532939454,70.10816326530613,65.0,33.1425949291762,237.53469387755104,241.3,53.957720914235296,70.68581632653061,71.50999999999999,4.797043615053747,74.8892857142857,75.23499999999999,6.114678803911123,54.710204081632654,59.4,15.429682499676279,179.00204081632654,173.0,92.49822856365934,201.67173469387757,167.0,108.21887639347234,102.19228571428573,97.2,34.38748073790809,29.53061224489796,29.0,11.740425249283504,85.22448979591837,80.0,29.99879532728665
13.5,19.363636363636363,19.0,5.242186517143344,83.18181818181819,76.5,28.781006242769212,279.00454545454545,281.3,49.400515490589065,71.13659090909091,69.625,5.065179305424821,75.87363636363636,76.94,5.239671968516954,60.72727272727273,62.0,15.421635445919472,176.37272727272727,170.0,84.29364310787776,232.71386363636364,219.65,126.11680560885023,109.51127272727273,94.25,54.00249884357805,35.13636363636363,32.0,12.349264310246543,89.81818181818181,87.5,20.353159023873474
14.0,24.0,21.5,9.273618495495704,102.0,104.0,9.092121131323903,303.875,317.5,32.15165884782101,70.97749999999999,70.345,4.268742008289249,78.32499999999999,79.07499999999999,3.9980203434533252,68.75,69.5,12.311918344975057,213.25,205.0,59.15727625012272,285.4625,290.9,94.21444842308776,151.785,129.07,63.26642790611779,40.25,38.0,22.969182252168522,120.0,120.0,9.128709291752768
15.0,13.0,13.0,,108.0,108.0,,176.1,176.1,,64.5,64.5,,52.25,52.25,,45.0,45.0,,136.0,136.0,,181.7,181.7,,80.1,80.1,,20.0,20.0,,78.0,78.0,
