sportgrade_numeric,pullup reps_mean,pullup reps_median,pullup reps_std,pushup reps_mean,pushup reps_median,pushup reps_std,continuoushang_mean,continuoushang_median,continuoushang_std,maxhang_mean,maxhang_median,maxhang_std,weightedpull_mean,weightedpull_median,weightedpull_std,repeaters1_mean,repeaters1_median,repeaters1_std,bigmovecamp_mean,bigmovecamp_median,bigmovecamp_std,onerungcamp_mean,onerungcamp_median,onerungcamp_std,overheadprR_mean,overheadprR_median,overheadprR_std,overheadprL_mean,overheadprL_median,overheadprL_std,deadlift_mean,deadlift_median,deadlift_std,powl_mean,powl_median,powl_std,powr_mean,powr_median,powr_std,lhang/sit_mean,lhang/sit_median,lhang/sit_std,armjump_mean,armjump_median,armjump_std,hipjump_mean,hipjump_median,hipjump_std
10.0,5.6,7.0,5.319774431308154,17.6,19.0,10.922453936730518,14.8,12.0,11.606032913963324,11.0,15.0,10.246950765959598,28.0,40.0,25.88435821108957,35.4,51.0,28.156704352604905,63.44,64.0,47.253232693647526,70.5076,65.0,49.831444779376,34.32,47.9,21.802224657130747,32.2,45.0,20.03933631635539,168.64000000000001,196.0,99.08518052665595,21.39,28.55,12.780277774759044,21.476,28.43,12.651823188774019,33.389599999999994,33.3,2.5502040702657487,68.541,71.445,4.250344691904401,72.929,72.58,4.924746693993513
10.5,9.461538461538462,9.0,5.20601230334352,25.846153846153847,25.0,13.939429411123408,24.153846153846153,22.0,16.42582394608235,28.00769230769231,20.0,28.76747183708426,40.46153846153846,35.0,27.576002201840236,48.05384615384616,37.0,39.04426153706021,66.86484615384616,60.5,30.678977850873046,104.51538461538462,90.6,67.35231802684851,44.96923076923077,48.1,8.901065911393667,43.7,43.8,7.791341347932332,210.0,207.1,73.76238878995176,29.893884615384614,32.0,17.500759469417613,29.4325,31.71,17.699138632524843,25.04153846153846,22.6,5.524784288630411,67.92961538461537,69.1,7.018091639214341,71.20653846153846,70.385,5.757674003961795
11.0,7.5,8.0,5.168940773306337,19.025,19.0,11.223801403656335,25.42625,26.9,13.345540825905013,27.817500000000003,25.5,22.060370402776385,35.25,35.0,29.91734768169953,66.7325,63.0,45.996651982396976,59.882225000000005,59.471500000000006,28.644100528763737,82.2531,80.25,48.37250756783237,42.635000000000005,47.0,12.044587038295541,39.4,44.0,12.434629065637624,196.775,215.45,63.863210186966135,24.754625,26.925,8.273169805934153,24.348,26.575,8.638684372768095,28.561500000000002,31.6,6.500670083803787,66.611375,67.8375,7.071634923890999,70.445875,69.955,4.338084755159667
11.5,12.261538461538462,12.0,6.2206232683030915,27.25846153846154,26.0,14.42409975860379,29.219846153846152,26.9,12.53703420025891,35.69538461538461,34.0,21.745792917605574,56.963846153846156,60.0,31.88288812652426,74.67384615384616,75.0,43.12827261830065,75.90486153846153,70.0,35.027468676328205,111.08335384615384,100.9,55.22155979450836,44.40769230769231,46.8,12.556339381119248,42.91923076923077,44.5,12.269212269397677,216.34615384615384,228.8,77.40747718430349,28.681792307692305,29.0,9.254369654930375,28.79153846153846,29.8,9.274675445933612,26.972615384615384,28.0,5.63392160181384,67.88153846153847,68.635,6.464732262140008,72.539,72.83,4.856636181556116
12.0,13.868799999999998,13.0,6.984319026080102,28.2728,27.0,11.187438058938273,42.63376,41.0,18.055214360042832,53.289199999999994,53.0,23.9071587874913,64.5796,60.0,26.524913803027985,123.7264,110.0,73.46081701239808,86.90292,80.8,36.94085318399251,146.03465599999998,123.0,99.54965788579636,46.5712,45.8,8.413917195970326,45.1104,44.3,8.191348937711961,232.52,235.5,59.79537688462373,30.637871999999998,30.0,6.600303635764821,30.865959999999998,30.53,6.649062682426654,27.983648000000002,29.3,5.99843398952674,67.91224,68.125,6.138569381772818,73.479,72.91,4.858802246870472
12.5,16.933333333333334,16.0,7.508270467460615,30.75294117647059,30.0,13.568073371934883,47.334901960784315,46.0,16.154291140979257,64.94607843137256,61.0,30.056595696536803,80.10098039215687,80.0,30.700119311852653,144.84117647058824,130.0,75.8993645245853,94.0455294117647,92.837,37.27834237292994,172.3672843137255,150.0,107.95230866684845,47.39705882352941,46.6,9.793839808498264,46.22352941176471,44.0,10.338816375851822,246.46372549019608,261.6,67.92386213525734,32.25142156862745,31.8375,7.456622430631412,32.32995098039216,32.0,7.472752898943092,25.904862745098036,24.424,5.9513355220341975,69.15068627450981,68.9675,6.052726373632558,74.26220588235294,73.6725,5.0929737356523095
13.0,17.3265306122449,16.0,5.5766916532939454,29.53061224489796,29.0,11.740425249283504,54.710204081632654,59.4,15.429682499676279,70.10816326530613,65.0,33.1425949291762,85.22448979591837,80.0,29.99879532728665,179.00204081632654,173.0,92.49822856365934,102.19228571428573,97.2,34.38748073790809,201.67173469387757,167.0,108.21887639347234,46.018367346938774,45.4,6.9087104883795005,44.23265306122449,44.0,6.202028826491043,237.53469387755104,241.3,53.957720914235296,32.94316326530612,32.77,5.86541271760045,33.1394387755102,33.0125,5.814267367175919,26.764979591836735,25.4,5.9037032180720965,70.68581632653061,71.50999999999999,4.797043615053747,74.8892857142857,75.23499999999999,6.114678803911123
13.5,19.363636363636363,19.0,5.242186517143344,35.13636363636363,32.0,12.349264310246543,60.72727272727273,62.0,15.421635445919472,83.18181818181819,76.5,28.781006242769212,89.81818181818181,87.5,20.353159023873474,176.37272727272727,170.0,84.29364310787776,109.51127272727273,94.25,54.00249884357805,232.71386363636364,219.65,126.11680560885023,48.47727272727273,47.2,10.075426580508676,46.27272727272727,45.0,8.92402758838566,279.00454545454545,281.3,49.400515490589065,34.77786363636364,35.0,4.332234431675605,35.045227272727274,35.405,4.036483464032925,24.792181818181817,23.950000000000003,5.0158322258373955,71.13659090909091,69.625,5.065179305424821,75.87363636363636,76.94,5.239671968516954
14.0,24.0,21.5,9.273618495495704,40.25,38.0,22.969182252168522,68.75,69.5,12.311918344975057,102.0,104.0,9.092121131323903,120.0,120.0,9.128709291752768,213.25,205.0,59.15727625012272,151.785,129.07,63.26642790611779,285.4625,290.9,94.21444842308776,49.15,45.8,8.904867582769924,47.425,43.85,9.929207756244535,303.875,317.5,32.15165884782101,38.2625,38.525,3.9634528297096376,39.125,38.75,4.225419111362406,22.299,22.898,1.9252882035338672,70.97749999999999,70.345,4.268742008289249,78.32499999999999,79.07499999999999,3.9980203434533252
15.0,13.0,13.0,,20.0,20.0,,45.0,45.0,,108.0,108.0,,78.0,78.0,,136.0,136.0,,80.1,80.1,,181.7,181.7,,47.1,47.1,,43.3,43.3,,176.1,176.1,,32.625,32.625,,32.225,32.225,,8.0,8.0,,64.5,64.5,,52.25,52.25,
